,index,date,region,hotel,review_positive
17258,70103,2021-03-01,강원도,세인트존스 경포호텔,반려동물과 함께하기 너무 좋은 호텔입니다. 바다 바로 앞이라서 산책만 나가도 힐링이 되는 여행이었습니다.
17259,70104,2021-03-01,강원도,세인트존스 경포호텔,위치나 깨끗한 것등은 좋았다
17260,70105,2021-03-01,강원도,세인트존스 경포호텔,"3명이 투숙하였으나 물컵은 2개만 있는 등 세심한 배려가 아쉬었음 슬리퍼를 제공하지않는다는 내용을 미리 알려주면 준비할텐데, 불편하였음"
17261,70106,2021-03-01,강원도,세인트존스 경포호텔,위치
17262,70107,2021-03-01,강원도,세인트존스 경포호텔,"모든 게 좋았어요. 조식 뷔페가 코로나로 축소 운영 하는 점이 아쉽지만 위치나 바다 접근, 뷰 등 다른 요소들이 좋아요. 편의시설이 모두 갖춰있어서 아기랑 여행하기 좋은 곳이에요. 재방문 의사 있습니다. 덕분에 마음 든든한 여행하고 갑니다 :)"
17263,70108,2021-03-01,강원도,세인트존스 경포호텔,5성급 호텔답게 시설이나 스텝의 친절함과 전문성이 구비된 호텔. 룸 내부의 청결함도 만족하였다.
17264,70109,2021-02-01,강원도,세인트존스 경포호텔,밤에 소음이 굉장히 심해요
17265,70110,2021-02-01,강원도,세인트존스 경포호텔,체크인 시칸이 모든 기억을 집어삼켜 다를 기어이 않남.
17266,70111,2021-03-01,강원도,세인트존스 경포호텔,없습니다. 위치만 좋을뿐 그외는 전무합니다.
17267,70112,2021-03-01,강원도,세인트존스 경포호텔,객실 청결상태가 좋았습니다.
17268,70113,2021-02-01,강원도,세인트존스 경포호텔,치솔 슬리퍼등이 없다는점
17269,70114,2021-01-01,강원도,세인트존스 경포호텔,시멘트 벽 뷰.....  창문을 열었는데.. 시멘트 벽이 떡하니..
17270,70115,2021-03-01,강원도,세인트존스 경포호텔,"위치는 좋았음 , 해변뷰는 좋음"
17271,70116,2021-03-01,강원도,세인트존스 경포호텔,바다조망
17272,70117,2021-02-01,강원도,세인트존스 경포호텔,해수욕장 옆
17273,70118,2021-02-01,강원도,세인트존스 경포호텔,객실 상태는 깔끔했다 뷰도 좋았음
17274,70119,2021-03-01,강원도,세인트존스 경포호텔,뷰가 좋고...위치가 좋습니다 침구도 쾌적하고 2박3일 사용했는데 룸서비스도 아주 좋구요~ 4월에도 재방문 하려합니다
